PK,Abbrev,column,Table,Words,words,words,words,words
7,G,7,stats,,,,,
8,GS,8,stats,,,,,
9,MP,9,stats,,,,,
10,PER,10,stats,,,,,
11,TS%,11,stats,,,,,
12,3Par,12,stats,,,,,
13,FTr,13,stats,,,,,
14,ORB%,14,stats,,,,,
15,DRB%,15,stats,,,,,
16,TRB%,16,stats,,,,,
17,AST%,17,stats,,,,,
18,STL%,18,stats,,,,,
19,BLK%,19,stats,,,,,
20,TOV%,20,stats,,,,,
21,USG%,21,stats,,,,,
23,OWS,23,stats,,,,,
24,DWS,24,stats,,,,,
25,WS,25,stats,,,,,
26,WS/48,26,stats,,,,,
28,DBPM,28,stats,,,,,
29,BPM,29,stats,,,,,
30,VORP,30,stats,,,,,
31,FG,31,stats,,,,,
32,FGA,32,stats,,,,,
33,FG%,33,stats,,,,,
34,3p,34,stats,,,,,
35,3PA,35,stats,,,,,
36,3P%,36,stats,,,,,
37,2p,37,stats,,,,,
38,2pa,38,stats,,,,,
39,2p%,39,stats,,,,,
40,eFG%,40,stats,,,,,
41,FT,41,stats,,,,,
42,FTA,42,stats,,,,,
43,FT%,43,stats,,,,,
44,ORB,44,stats,,,,,
45,DRB,45,stats,,,,,
46,TRB,46,stats,,,,,
47,AST,47,stats,,,,,
48,STL,48,stats,,,,,
49,BLK,49,stats,,,,,
50,TOV,50,stats,,,,,
51,PF,51,stats,,,,,
52,PTS,52,stats,,,,,
53,year_start,1,player_data,,,,,
54,year_end,2,player_data,,,,,
55,position,3,player_data,,,,,
56,height,4,player_data,,,,,
57,weight,5,player_data,,,,,
58,birth_date,6,player_data,,,,,
59,college,7,player_data,,,,,
60,city,8,player_data,,,,,
61,state/county,9,player_data,,,,,
